      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_pavg_Prediction  I3D_pcomp_MAP_Prediction  I3D_ptarget_MAP_Prediction  I3D_pavg_MAP_Prediction  I3D_pcomp_w_Prediction  I3D_ptarget_w_Prediction  I3D_pavg_w_Prediction  I3D_pcomp_MAP_w_Prediction  I3D_ptarget_MAP_w_Prediction  I3D_pavg_MAP_w_Prediction
13    o1_t2_ap_d1   o1_t2_ap_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
14    o1_t2_ap_d1   o1_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
15    o1_t2_ap_d1   o1_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
16    o1_t2_ap_d1   o1_t2_rp_d1                     0                       1                    0                         1                           1                        1                       0                         1                      1                           1                             1                          1
17    o1_t2_ap_d1   o1_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
18    o1_t2_ap_d2   o1_t2_mf_d1                     1                       0                    1                         1                           0                        1                       1                         0                      1                           1                             0                          1
19    o1_t2_ap_d2   o1_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
20    o1_t2_ap_d2   o1_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
21    o1_t2_ap_d2   o1_t2_rp_d2                     1                       0                    1                         1                           0                        1                       1                         0                      1                           1                             0                          1
22    o1_t2_mf_d1   o1_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
23    o1_t2_mf_d1   o1_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
24    o1_t2_mf_d1   o1_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
25    o1_t2_mf_d2   o1_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
26    o1_t2_mf_d2   o1_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
27    o1_t2_rp_d1   o1_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
28    o2_t1_cs_d1   o2_t1_cs_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
29    o2_t1_cs_d1   o2_t2_ap_d1                     0                       1                    0                         0                           0                        0                       0                         1                      0                           0                             0                          0
30    o2_t1_cs_d1   o2_t2_ap_d2                     1                       0                    0                         1                           0                        0                       1                         0                      0                           1                             0                          0
31    o2_t1_cs_d1   o2_t2_mf_d1                     1                       0                    0                         1                           0                        1                       1                         0                      1                           1                             0                          1
32    o2_t1_cs_d1   o2_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
33    o2_t1_cs_d1   o2_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
34    o2_t1_cs_d1   o2_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
35    o2_t1_cs_d2   o2_t2_ap_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
36    o2_t1_cs_d2   o2_t2_ap_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
37    o2_t1_cs_d2   o2_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
38    o2_t1_cs_d2   o2_t2_mf_d2                     0                       1                    1                         0                           0                        0                       0                         0                      0                           0                             0                          0
39    o2_t1_cs_d2   o2_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
40    o2_t1_cs_d2   o2_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
41    o2_t2_ap_d1   o2_t2_ap_d2                     1                       0                    0                         1                           0                        0                       1                         0                      0                           1                             0                          0
42    o2_t2_ap_d1   o2_t2_mf_d1                     1                       0                    1                         1                           0                        1                       1                         0                      1                           1                             0                          1
43    o2_t2_ap_d1   o2_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
