      Comparison1   Comparison2  I3D_pcomp_GT_Prediction  I3D_ptarget_GT_Prediction  I3D_pavg_GT_Prediction
53    o2_t2_mf_d2   o2_t2_rp_d1                        1                          1                       1
54    o2_t2_mf_d2   o2_t2_rp_d2                        1                          1                       1
55    o2_t2_rp_d1   o2_t2_rp_d2                        0                          0                       0
56    o3_t1_cs_d1   o3_t1_cs_d2                        0                          0                       0
57    o3_t1_cs_d1   o3_t2_ap_d1                        0                          0                       0
58    o3_t1_cs_d1   o3_t2_ap_d2                        0                          0                       0
59    o3_t1_cs_d1   o3_t2_mf_d1                        1                          1                       1
60    o3_t1_cs_d1   o3_t2_mf_d2                        0                          0                       0
61    o3_t1_cs_d1   o3_t2_rp_d1                        1                          1                       1
62    o3_t1_cs_d1   o3_t2_rp_d2                        0                          0                       0
63    o3_t1_cs_d2   o3_t2_ap_d1                        1                          1                       1
64    o3_t1_cs_d2   o3_t2_ap_d2                        0                          0                       0
65    o3_t1_cs_d2   o3_t2_mf_d1                        1                          1                       1
66    o3_t1_cs_d2   o3_t2_mf_d2                        1                          1                       1
67    o3_t1_cs_d2   o3_t2_rp_d1                        1                          1                       1
68    o3_t1_cs_d2   o3_t2_rp_d2                        1                          1                       1
69    o3_t2_ap_d1   o3_t2_ap_d2                        0                          0                       0
70    o3_t2_ap_d1   o3_t2_mf_d1                        1                          1                       1
71    o3_t2_ap_d1   o3_t2_mf_d2                        1                          1                       1
72    o3_t2_ap_d1   o3_t2_rp_d1                        1                          1                       1
73    o3_t2_ap_d1   o3_t2_rp_d2                        0                          1                       1
74    o3_t2_ap_d2   o3_t2_mf_d1                        1                          1                       1
75    o3_t2_ap_d2   o3_t2_mf_d2                        1                          1                       1
76    o3_t2_ap_d2   o3_t2_rp_d1                        1                          1                       1
77    o3_t2_ap_d2   o3_t2_rp_d2                        1                          1                       1
78    o3_t2_mf_d1   o3_t2_mf_d2                        0                          0                       0
79    o3_t2_mf_d1   o3_t2_rp_d1                        1                          0                       1
80    o3_t2_mf_d1   o3_t2_rp_d2                        0                          0                       0
81    o3_t2_mf_d2   o3_t2_rp_d1                        1                          1                       1
82    o3_t2_mf_d2   o3_t2_rp_d2                        0                          0                       0
83    o3_t2_rp_d1   o3_t2_rp_d2                        0                          0                       0
84    o4_t1_cs_d1   o4_t1_cs_d2                        0                          0                       0
