      Comparison1   Comparison2  I3D_single_view_pcomp_Prediction  I3D_single_view_pcomp_max_Prediction  I3D_single_view_pcomp_MAP_Prediction  I3D_single_view_pcomp_MAP_max_Prediction  I3D_single_view_ptarget_Prediction  I3D_single_view_ptarget_max_Prediction  I3D_single_view_ptarget_MAP_Prediction  I3D_single_view_ptarget_MAP_max_Prediction  I3D_single_view_avg_Prediction  I3D_single_view_avg_max_Prediction  I3D_single_view_avg_MAP_Prediction  I3D_single_view_avg_MAP_max_Prediction
21    o1_t2_ap_d2   o1_t2_rp_d2                      9.999995e-01                          9.999997e-01                          1.000000e+00                              1.000000e+00                        1.000000e+00                            1.000000e+00                            1.000000e+00                                1.000000e+00                    1.000000e+00                        1.000000e+00                        1.000000e+00                            1.000000e+00
22    o1_t2_mf_d1   o1_t2_mf_d2                      1.295382e-10                          1.142312e-10                          4.430738e-10                              4.239319e-10                        1.419330e-06                            6.756385e-07                            1.762349e-09                                1.067692e-09                    3.276081e-07                        1.491867e-07                        1.304692e-09                            8.761686e-10
23    o1_t2_mf_d1   o1_t2_rp_d1                      1.149094e-08                          1.410243e-08                          3.055654e-08                              3.963274e-08                        8.450493e-04                            5.641157e-04                            3.588920e-07                                3.564407e-07                    3.616226e-05                        2.268342e-05                        1.583909e-07                            1.657353e-07
24    o1_t2_mf_d1   o1_t2_rp_d2                      9.581940e-01                          9.756371e-01                          9.999397e-01                              9.999591e-01                        9.973661e-01                            9.968262e-01                            9.810277e-01                                9.831242e-01                    9.973537e-01                        9.968133e-01                        9.832184e-01                            9.855126e-01
25    o1_t2_mf_d2   o1_t2_rp_d1                      9.888526e-01                          9.919650e-01                          9.857071e-01                              9.894167e-01                        9.983246e-01                            9.988044e-01                            9.951135e-01                                9.970135e-01                    9.910223e-01                        9.934662e-01                        9.918301e-01                            9.947412e-01
26    o1_t2_mf_d2   o1_t2_rp_d2                      1.000000e+00                          1.000000e+00                          1.000000e+00                              1.000000e+00                        1.000000e+00                            1.000000e+00                            1.000000e+00                                1.000000e+00                    1.000000e+00                        1.000000e+00                        1.000000e+00                            1.000000e+00
27    o1_t2_rp_d1   o1_t2_rp_d2                      1.000000e+00                          1.000000e+00                          1.000000e+00                              1.000000e+00                        9.999978e-01                            9.999982e-01                            1.000000e+00                                1.000000e+00                    9.999999e-01                        9.999999e-01                        1.000000e+00                            1.000000e+00
28    o2_t1_cs_d1   o2_t1_cs_d2                      4.053888e-05                          4.938113e-05                          5.181108e-03                              8.127771e-03                        2.298659e-05                            1.360505e-05                            3.711132e-08                                2.039401e-08                    4.053809e-05                        4.937924e-05                        5.606934e-06                            6.287681e-06
29    o2_t1_cs_d1   o2_t2_ap_d1                      2.118125e-03                          1.691596e-03                          2.900740e-02                              1.396084e-02                        1.850147e-06                            6.827840e-07                            5.251366e-09                                1.868646e-09                    2.058275e-03                        1.632818e-03                        7.942307e-07                            5.765434e-07
30    o2_t1_cs_d1   o2_t2_ap_d2                      3.051767e-05                          1.545855e-05                          4.320397e-10                              2.282915e-10                        7.596113e-12                            2.747442e-12                            2.163066e-14                                7.484144e-15                    2.959160e-07                        1.867293e-07                        3.247141e-12                            2.286168e-12
31    o2_t1_cs_d1   o2_t2_mf_d1                      4.174316e-01                          5.352640e-01                          7.410487e-02                              9.302366e-02                        2.112092e-01                            2.205436e-01                            1.044471e-01                                1.540954e-01                    4.174213e-01                        5.352529e-01                        7.424748e-02                            9.314331e-02
32    o2_t1_cs_d1   o2_t2_mf_d2                      6.994713e-04                          4.916765e-04                          4.289097e-05                              1.119666e-04                        3.749332e-07                            2.229425e-07                            1.305283e-09                                7.744127e-10                    6.678170e-04                        4.764110e-04                        1.965213e-07                            2.384363e-07
33    o2_t1_cs_d1   o2_t2_rp_d1                      4.668188e-02                          3.603696e-02                          1.219597e-01                              1.848834e-01                        7.789331e-03                            4.793692e-03                            6.201525e-02                                6.731964e-02                    4.667596e-02                        3.603355e-02                        1.211852e-01                            1.838429e-01
34    o2_t1_cs_d1   o2_t2_rp_d2                      4.698292e-02                          3.804226e-02                          9.885997e-07                              8.499592e-07                        1.010658e-08                            4.018970e-09                            1.420701e-09                                5.102509e-10                    3.942336e-04                        2.744932e-04                        1.767196e-07                            1.328998e-07
35    o2_t1_cs_d2   o2_t2_ap_d1                      9.812587e-01                          9.716812e-01                          8.515454e-01                              6.334086e-01                        7.449091e-02                            4.778720e-02                            1.239621e-01                                8.393634e-02                    9.807235e-01                        9.706911e-01                        1.240754e-01                            8.399207e-02
36    o2_t1_cs_d2   o2_t2_ap_d2                      4.294818e-01                          2.384057e-01                          8.295546e-08                              2.785955e-08                        3.304508e-07                            2.019400e-07                            5.828583e-07                                3.669773e-07                    7.246514e-03                        3.767105e-03                        5.791260e-07                            3.635923e-07
37    o2_t1_cs_d2   o2_t2_mf_d1                      9.999434e-01                          9.999571e-01                          9.389037e-01                              9.260162e-01                        9.999142e-01                            9.999519e-01                            9.999997e-01                                9.999999e-01                    9.999434e-01                        9.999571e-01                        9.999301e-01                            9.999388e-01
38    o2_t1_cs_d2   o2_t2_mf_d2                      9.452526e-01                          9.087689e-01                          8.168527e-03                              1.348115e-02                        1.604882e-02                            1.612234e-02                            3.397706e-02                                3.658338e-02                    9.428054e-01                        9.061220e-01                        3.386264e-02                            3.653550e-02
39    o2_t1_cs_d2   o2_t2_rp_d1                      9.991728e-01                          9.986808e-01                          9.638598e-01                              9.651322e-01                        9.970804e-01                            9.971834e-01                            9.999994e-01                                9.999997e-01                    9.991727e-01                        9.986807e-01                        9.999593e-01                            9.999721e-01
40    o2_t1_cs_d2   o2_t2_rp_d2                      9.991783e-01                          9.987528e-01                          1.897841e-04                              1.037141e-04                        4.394698e-04                            2.953115e-04                            3.687065e-02                                2.440894e-02                    9.067899e-01                        8.475640e-01                        3.055485e-02                            2.069891e-02
41    o2_t2_ap_d1   o2_t2_ap_d2                      1.417400e-02                          9.040640e-03                          1.446208e-08                              1.612399e-08                        4.105656e-06                            4.023863e-06                            4.119036e-06                                4.005100e-06                    1.434525e-04                        1.141604e-04                        4.088391e-06                            3.965283e-06
42    o2_t2_ap_d1   o2_t2_mf_d1                      9.970464e-01                          9.985310e-01                          7.281958e-01                              8.787001e-01                        9.999931e-01                            9.999976e-01                            1.000000e+00                                1.000000e+00                    9.971297e-01                        9.985820e-01                        9.999901e-01                            9.999944e-01
43    o2_t2_ap_d1   o2_t2_mf_d2                      2.479861e-01                          2.249921e-01                          1.433734e-03                              7.846907e-03                        1.685030e-01                            2.461476e-01                            1.990778e-01                                2.929986e-01                    2.447148e-01                        2.256674e-01                        1.983556e-01                            2.925671e-01
44    o2_t2_ap_d1   o2_t2_rp_d1                      9.584536e-01                          9.566397e-01                          8.229941e-01                              9.412454e-01                        9.997644e-01                            9.998583e-01                            9.999999e-01                                1.000000e+00                    9.595773e-01                        9.580816e-01                        9.999942e-01                            9.999974e-01
45    o2_t2_ap_d1   o2_t2_rp_d2                      9.587213e-01                          9.589133e-01                          3.309128e-05                              6.002816e-05                        5.432896e-03                            5.851703e-03                            2.129326e-01                                2.144905e-01                    1.605224e-01                        1.437489e-01                        1.820068e-01                            1.873297e-01
46    o2_t2_ap_d2   o2_t2_mf_d1                      9.999574e-01                          9.999866e-01                          1.000000e+00                              1.000000e+00                        1.000000e+00                            1.000000e+00                            1.000000e+00                                1.000000e+00                    9.999996e-01                        9.999998e-01                        1.000000e+00                            1.000000e+00
47    o2_t2_ap_d2   o2_t2_mf_d2                      9.582211e-01                          9.695320e-01                          9.999899e-01                              9.999980e-01                        9.999797e-01                            9.999877e-01                            9.999834e-01                                9.999903e-01                    9.995574e-01                        9.996084e-01                        9.999835e-01                            9.999904e-01
48    o2_t2_ap_d2   o2_t2_rp_d1                      9.993771e-01                          9.995867e-01                          1.000000e+00                              1.000000e+00                        1.000000e+00                            1.000000e+00                            1.000000e+00                                1.000000e+00                    9.999940e-01                        9.999950e-01                        1.000000e+00                            1.000000e+00
49    o2_t2_ap_d2   o2_t2_rp_d2                      9.993813e-01                          9.996093e-01                          9.995632e-01                              9.997315e-01                        9.992490e-01                            9.993168e-01                            9.999848e-01                                9.999853e-01                    9.992502e-01                        9.993204e-01                        9.999816e-01                            9.999828e-01
50    o2_t2_mf_d1   o2_t2_mf_d2                      9.759134e-04                          4.269194e-04                          5.356324e-04                              1.090601e-03                        1.400240e-06                            7.879343e-07                            1.119180e-08                                4.251129e-09                    9.318002e-04                        4.136821e-04                        2.450315e-06                            2.321446e-06
51    o2_t2_mf_d1   o2_t2_rp_d1                      6.396800e-02                          3.143790e-02                          6.344320e-01                              6.886160e-01                        2.848364e-02                            1.673876e-02                            3.617926e-01                                2.837825e-01                    6.396258e-02                        3.143627e-02                        6.322657e-01                            6.868255e-01
52    o2_t2_mf_d1   o2_t2_rp_d2                      6.437298e-02                          3.319609e-02                          1.235181e-05                              8.287001e-06                        3.774448e-08                            1.420404e-08                            1.218141e-08                                2.801016e-09                    5.501307e-04                        2.383444e-04                        2.203419e-06                            1.293930e-06
53    o2_t2_mf_d2   o2_t2_rp_d1                      9.859071e-01                          9.870124e-01                          9.996913e-01                              9.995065e-01                        9.999522e-01                            9.999537e-01                            1.000000e+00                                1.000000e+00                    9.865350e-01                        9.874096e-01                        9.999986e-01                            9.999989e-01
54    o2_t2_mf_d2   o2_t2_rp_d2                      9.860005e-01                          9.877139e-01                          2.252892e-02                              7.533162e-03                        2.624814e-02                            1.770771e-02                            5.211699e-01                                3.971864e-01                    3.711365e-01                        3.655034e-01                        4.734733e-01                            3.578963e-01
55    o2_t2_rp_d1   o2_t2_rp_d2                      5.016859e-01                          5.140550e-01                          7.117310e-06                              3.747301e-06                        1.287382e-06                            8.343674e-07                            2.148819e-08                                7.069274e-09                    7.990756e-03                        7.291675e-03                        1.281539e-06                            5.899988e-07
