      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_avg_Prediction
62    o3_t1_cs_d1   o3_t2_rp_d2          3.905236e-02            1.324433e-01        7.862972e-02
63    o3_t1_cs_d2   o3_t2_ap_d1          8.959123e-01            4.856224e-01        6.559695e-01
64    o3_t1_cs_d2   o3_t2_ap_d2          5.990917e-01            3.001119e-01        4.185615e-01
65    o3_t1_cs_d2   o3_t2_mf_d1          9.999986e-01            9.999980e-01        9.999983e-01
66    o3_t1_cs_d2   o3_t2_mf_d2          3.898595e-01            2.446908e-01        3.101866e-01
67    o3_t1_cs_d2   o3_t2_rp_d1          9.999590e-01            9.999813e-01        9.999687e-01
68    o3_t1_cs_d2   o3_t2_rp_d2          3.518414e-01            3.843096e-01        3.651993e-01
69    o3_t2_ap_d1   o3_t2_ap_d2          1.479303e-01            3.123321e-01        2.740709e-01
70    o3_t2_ap_d1   o3_t2_mf_d1          9.999876e-01            9.999981e-01        9.999968e-01
71    o3_t2_ap_d1   o3_t2_mf_d2          6.910549e-02            2.554781e-01        1.908292e-01
72    o3_t2_ap_d1   o3_t2_rp_d1          9.996475e-01            9.999823e-01        9.999402e-01
73    o3_t2_ap_d1   o3_t2_rp_d2          5.932517e-02            3.980086e-01        2.317864e-01
74    o3_t2_ap_d2   o3_t2_mf_d1          9.999979e-01            9.999991e-01        9.999988e-01
75    o3_t2_ap_d2   o3_t2_mf_d2          2.995200e-01            4.303639e-01        3.844824e-01
76    o3_t2_ap_d2   o3_t2_rp_d1          9.999388e-01            9.999920e-01        9.999774e-01
77    o3_t2_ap_d2   o3_t2_rp_d2          2.664642e-01            5.927799e-01        4.441870e-01
78    o3_t2_mf_d1   o3_t2_mf_d2          9.182134e-07            6.563878e-07        7.608721e-07
79    o3_t2_mf_d1   o3_t2_rp_d1          3.389044e-02            9.753375e-02        5.121573e-02
80    o3_t2_mf_d1   o3_t2_rp_d2          7.800656e-07            1.264696e-06        9.734479e-07
81    o3_t2_mf_d2   o3_t2_rp_d1          9.999738e-01            9.999939e-01        9.999859e-01
82    o3_t2_mf_d2   o3_t2_rp_d2          4.593271e-01            6.583244e-01        5.612851e-01
83    o3_t2_rp_d1   o3_t2_rp_d2          2.223673e-05            1.170194e-05        1.803306e-05
84    o4_t1_cs_d1   o4_t1_cs_d2          2.350492e-03            6.492646e-03        6.235893e-03
85    o4_t1_cs_d1   o4_t2_ap_d1          1.095591e-06            1.365916e-04        3.511779e-05
86    o4_t1_cs_d1   o4_t2_ap_d2          6.501542e-11            1.274427e-08        2.293601e-09
87    o4_t1_cs_d1   o4_t2_mf_d1          9.992189e-01            9.999987e-01        9.999804e-01
88    o4_t1_cs_d1   o4_t2_mf_d2          1.000000e+00            1.000000e+00        1.000000e+00
89    o4_t1_cs_d1   o4_t2_rp_d1          9.985974e-01            9.999814e-01        9.999490e-01
90    o4_t1_cs_d1   o4_t2_rp_d2          1.939673e-02            1.129492e-01        1.015103e-01
91    o4_t1_cs_d2   o4_t2_ap_d1          4.648003e-04            2.047613e-02        5.565488e-03
92    o4_t1_cs_d2   o4_t2_ap_d2          2.759533e-08            1.950130e-06        3.655126e-07
93    o4_t1_cs_d2   o4_t2_mf_d1          9.999982e-01            1.000000e+00        9.999999e-01
94    o4_t1_cs_d2   o4_t2_mf_d2          1.000000e+00            1.000000e+00        1.000000e+00
95    o4_t1_cs_d2   o4_t2_rp_d1          9.999967e-01            9.999999e-01        9.999997e-01
96    o4_t1_cs_d2   o4_t2_rp_d2          8.935678e-01            9.511821e-01        9.473809e-01
97    o4_t2_ap_d1   o4_t2_ap_d2          5.933918e-05            9.328055e-05        6.530510e-05
98    o4_t2_ap_d1   o4_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
99    o4_t2_ap_d1   o4_t2_mf_d2          1.000000e+00            1.000000e+00        1.000000e+00
100   o4_t2_ap_d1   o4_t2_rp_d1          1.000000e+00            1.000000e+00        1.000000e+00
101   o4_t2_ap_d1   o4_t2_rp_d2          9.999446e-01            9.989283e-01        9.996893e-01
102   o4_t2_ap_d2   o4_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
103   o4_t2_ap_d2   o4_t2_mf_d2          1.000000e+00            1.000000e+00        1.000000e+00
104   o4_t2_ap_d2   o4_t2_rp_d1          1.000000e+00            1.000000e+00        1.000000e+00
105   o4_t2_ap_d2   o4_t2_rp_d2          1.000000e+00            9.999999e-01        1.000000e+00
106   o4_t2_mf_d1   o4_t2_mf_d2          9.999808e-01            9.995928e-01        9.999549e-01
107   o4_t2_mf_d1   o4_t2_rp_d1          3.575466e-01            6.704227e-02        2.774456e-01
108   o4_t2_mf_d1   o4_t2_rp_d2          1.546195e-05            1.699760e-07        2.210679e-06
109   o4_t2_mf_d2   o4_t2_rp_d1          1.069161e-05            2.927566e-05        1.730802e-05
110   o4_t2_mf_d2   o4_t2_rp_d2          2.970488e-10            6.925008e-11        9.964926e-11
111   o4_t2_rp_d1   o4_t2_rp_d2          2.778228e-05            2.365374e-06        5.757272e-06
112   o5_t1_cs_d1   o5_t1_cs_d2          4.842023e-13            3.222839e-13        4.306411e-13
113   o5_t1_cs_d1   o5_t2_ap_d1          9.695883e-11            1.640748e-11        4.376646e-11
114   o5_t1_cs_d1   o5_t2_ap_d2          6.635256e-12            1.063987e-11        7.317022e-12
115   o5_t1_cs_d1   o5_t2_mf_d1          4.107409e-02            1.243266e-03        4.599008e-03
116   o5_t1_cs_d1   o5_t2_mf_d2          3.705897e-12            1.902268e-13        6.647070e-13
117   o5_t1_cs_d1   o5_t2_rp_d1          4.627997e-12            1.022008e-11        5.353103e-12
118   o5_t1_cs_d1   o5_t2_rp_d2          2.629650e-13            6.667412e-14        1.521067e-13
119   o5_t1_cs_d2   o5_t2_ap_d1          9.950309e-01            9.807359e-01        9.902564e-01
120   o5_t1_cs_d2   o5_t2_ap_d2          9.319889e-01            9.706003e-01        9.444166e-01
121   o5_t1_cs_d2   o5_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
122   o5_t1_cs_d2   o5_t2_mf_d2          8.844413e-01            3.711665e-01        6.068454e-01
123   o5_t1_cs_d2   o5_t2_rp_d1          9.052849e-01            9.694296e-01        9.255429e-01
124   o5_t1_cs_d2   o5_t2_rp_d2          3.519493e-01            1.714173e-01        2.610164e-01
125   o5_t2_ap_d1   o5_t2_ap_d2          6.405052e-02            3.933795e-01        1.432366e-01
126   o5_t2_ap_d1   o5_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
127   o5_t2_ap_d1   o5_t2_mf_d2          3.681425e-02            1.146103e-02        1.496038e-02
128   o5_t2_ap_d1   o5_t2_rp_d1          4.555705e-02            3.838160e-01        1.089811e-01
129   o5_t2_ap_d1   o5_t2_rp_d2          2.704794e-03            4.047196e-03        3.463381e-03
130   o5_t2_ap_d2   o5_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
131   o5_t2_ap_d2   o5_t2_mf_d2          3.583640e-01            1.756464e-02        8.327857e-02
132   o5_t2_ap_d2   o5_t2_rp_d1          4.108935e-01            4.899380e-01        4.224981e-01
133   o5_t2_ap_d2   o5_t2_rp_d2          3.812069e-02            6.227417e-03        2.036472e-02
134   o5_t2_mf_d1   o5_t2_mf_d2          8.651879e-11            1.528155e-10        1.438680e-10
135   o5_t2_mf_d1   o5_t2_rp_d1          1.080464e-10            8.210133e-09        1.158616e-09
136   o5_t2_mf_d1   o5_t2_rp_d2          6.139245e-12            5.356153e-11        3.292170e-11
137   o5_t2_mf_d2   o5_t2_rp_d1          5.553223e-01            9.817271e-01        8.895434e-01
138   o5_t2_mf_d2   o5_t2_rp_d2          6.625702e-02            2.595325e-01        1.862196e-01
139   o5_t2_rp_d1   o5_t2_rp_d2          5.376549e-02            6.481548e-03        2.762959e-02
140   o6_t1_cs_d1   o6_t1_cs_d2          9.773102e-01            5.546444e-01        9.599354e-01
141   o6_t1_cs_d1   o6_t2_ap_d1          9.990807e-01            9.687429e-01        9.983382e-01
142   o6_t1_cs_d1   o6_t2_ap_d2          9.818284e-01            8.173428e-01        9.771577e-01
143   o6_t1_cs_d1   o6_t2_mf_d1          9.999994e-01            9.998610e-01        9.999961e-01
144   o6_t1_cs_d1   o6_t2_mf_d2          9.994727e-01            6.628037e-01        9.875582e-01
145   o6_t1_cs_d1   o6_t2_rp_d1          9.979180e-01            4.764722e-01        9.726357e-01
146   o6_t1_cs_d1   o6_t2_rp_d2          9.835558e-01            5.526263e-01        9.656703e-01
147   o6_t1_cs_d2   o6_t2_ap_d1          9.618796e-01            9.613688e-01        9.616461e-01
148   o6_t1_cs_d2   o6_t2_ap_d2          5.564254e-01            7.822783e-01        6.409891e-01
149   o6_t1_cs_d2   o6_t2_mf_d1          9.999750e-01            9.998269e-01        9.999073e-01
150   o6_t1_cs_d2   o6_t2_mf_d2          9.777823e-01            6.121501e-01        7.681336e-01
151   o6_t1_cs_d2   o6_t2_rp_d1          9.175457e-01            4.222277e-01        5.973406e-01
152   o6_t1_cs_d2   o6_t2_rp_d2          5.813484e-01            4.979584e-01        5.400243e-01
153   o6_t2_ap_d1   o6_t2_ap_d2          4.735945e-02            1.261647e-01        6.647573e-02
154   o6_t2_ap_d1   o6_t2_mf_d1          9.993688e-01            9.957089e-01        9.976805e-01
155   o6_t2_ap_d1   o6_t2_mf_d2          6.355863e-01            5.963992e-02        1.167073e-01
156   o6_t2_ap_d1   o6_t2_rp_d1          3.060440e-01            2.852785e-02        5.586172e-02
157   o6_t2_ap_d1   o6_t2_rp_d2          5.216209e-02            3.832908e-02        4.473001e-02
158   o6_t2_ap_d2   o6_t2_mf_d1          9.999686e-01            9.993782e-01        9.998345e-01
159   o6_t2_ap_d2   o6_t2_mf_d2          9.722865e-01            3.052049e-01        6.497960e-01
160   o6_t2_ap_d2   o6_t2_rp_d1          8.986935e-01            1.690145e-01        4.538162e-01
161   o6_t2_ap_d2   o6_t2_rp_d2          5.253891e-01            2.163340e-01        3.967036e-01
162   o6_t2_mf_d1   o6_t2_mf_d2          1.100323e-03            2.732516e-04        3.070880e-04
163   o6_t2_mf_d1   o6_t2_rp_d1          2.784514e-04            1.265384e-04        1.375377e-04
164   o6_t2_mf_d1   o6_t2_rp_d2          3.475557e-05            1.717378e-04        1.088500e-04
165   o6_t2_mf_d2   o6_t2_rp_d1          2.018232e-01            3.164804e-01        3.092974e-01
166   o6_t2_mf_d2   o6_t2_rp_d2          3.058789e-02            3.859128e-01        2.616593e-01
167   o6_t2_rp_d1   o6_t2_rp_d2          1.109427e-01            5.757788e-01        4.417763e-01
168   o7_t1_cs_d1   o7_t1_cs_d2          2.434432e-02            2.420304e-01        5.051561e-02
169   o7_t1_cs_d1   o7_t2_ap_d1          3.610686e-03            2.847736e-03        3.127964e-03
170   o7_t1_cs_d1   o7_t2_ap_d2          2.657079e-02            1.419515e-01        4.996395e-02
171   o7_t1_cs_d1   o7_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
172   o7_t1_cs_d1   o7_t2_mf_d2          9.998302e-01            9.999369e-01        9.998917e-01
173   o7_t1_cs_d1   o7_t2_rp_d1          9.999999e-01            1.000000e+00        1.000000e+00
174   o7_t1_cs_d1   o7_t2_rp_d2          6.770732e-01            4.887141e-01        5.540656e-01
175   o7_t1_cs_d2   o7_t2_ap_d1          1.268138e-01            8.864477e-03        5.569266e-02
176   o7_t1_cs_d2   o7_t2_ap_d2          5.224346e-01            3.412800e-01        4.971096e-01
177   o7_t1_cs_d2   o7_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
178   o7_t1_cs_d2   o7_t2_mf_d2          9.999958e-01            9.999799e-01        9.999942e-01
179   o7_t1_cs_d2   o7_t2_rp_d1          1.000000e+00            1.000000e+00        1.000000e+00
180   o7_t1_cs_d2   o7_t2_rp_d2          9.882393e-01            7.495903e-01        9.589382e-01
181   o7_t2_ap_d1   o7_t2_ap_d2          8.828012e-01            9.830302e-01        9.436962e-01
182   o7_t2_ap_d1   o7_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
183   o7_t2_ap_d1   o7_t2_mf_d2          9.999994e-01            9.999998e-01        9.999997e-01
184   o7_t2_ap_d1   o7_t2_rp_d1          1.000000e+00            1.000000e+00        1.000000e+00
185   o7_t2_ap_d1   o7_t2_rp_d2          9.982746e-01            9.970211e-01        9.974810e-01
186   o7_t2_ap_d2   o7_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
187   o7_t2_ap_d2   o7_t2_mf_d2          9.999954e-01            9.999896e-01        9.999943e-01
188   o7_t2_ap_d2   o7_t2_rp_d1          1.000000e+00            1.000000e+00        1.000000e+00
189   o7_t2_ap_d2   o7_t2_rp_d2          9.871486e-01            8.524596e-01        9.593910e-01
190   o7_t2_mf_d1   o7_t2_mf_d2          2.117331e-09            6.394843e-10        1.621535e-09
191   o7_t2_mf_d1   o7_t2_rp_d1          7.003805e-06            7.093391e-06        7.015527e-06
192   o7_t2_mf_d1   o7_t2_rp_d2          7.537617e-13            3.856644e-14        2.182578e-13
193   o7_t2_mf_d2   o7_t2_rp_d1          9.996978e-01            9.999099e-01        9.997689e-01
194   o7_t2_mf_d2   o7_t2_rp_d2          3.558694e-04            6.030503e-05        1.345814e-04
195   o7_t2_rp_d1   o7_t2_rp_d2          1.076210e-07            5.436916e-09        3.111045e-08
196   o8_t1_cs_d1   o8_t1_cs_d2          2.974390e-08            4.115309e-09        1.227402e-08
197   o8_t1_cs_d1   o8_t2_ap_d1          9.979862e-01            9.978528e-01        9.979557e-01
198   o8_t1_cs_d1   o8_t2_ap_d2          3.723208e-10            3.461468e-10        3.659957e-10
199   o8_t1_cs_d1   o8_t2_mf_d1          9.112117e-01            1.158916e-01        3.547711e-01
200   o8_t1_cs_d1   o8_t2_mf_d2          8.704367e-06            2.323244e-05        1.015584e-05
201   o8_t1_cs_d1   o8_t2_rp_d1          7.088014e-08            4.218613e-08        6.134397e-08
202   o8_t1_cs_d1   o8_t2_rp_d2          3.360654e-05            4.454876e-06        1.346645e-05
203   o8_t1_cs_d2   o8_t2_ap_d1          1.000000e+00            1.000000e+00        1.000000e+00
204   o8_t1_cs_d2   o8_t2_ap_d2          1.236280e-02            7.758607e-02        2.895531e-02
205   o8_t1_cs_d2   o8_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
206   o8_t1_cs_d2   o8_t2_mf_d2          9.965945e-01            9.998229e-01        9.987929e-01
207   o8_t1_cs_d2   o8_t2_rp_d1          7.044056e-01            9.111192e-01        8.332741e-01
208   o8_t1_cs_d2   o8_t2_rp_d2          9.991157e-01            9.990771e-01        9.990894e-01
209   o8_t2_ap_d1   o8_t2_ap_d2          7.512769e-13            7.448407e-13        7.497216e-13
210   o8_t2_ap_d1   o8_t2_mf_d1          2.028825e-02            2.819856e-04        1.125044e-03
211   o8_t2_ap_d1   o8_t2_mf_d2          1.756401e-08            4.999285e-08        2.080388e-08
212   o8_t2_ap_d1   o8_t2_rp_d1          1.430235e-10            9.077637e-11        1.256597e-10
213   o8_t2_ap_d1   o8_t2_rp_d2          6.781428e-08            9.586071e-09        2.758564e-08
214   o8_t2_ap_d2   o8_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
215   o8_t2_ap_d2   o8_t2_mf_d2          9.999572e-01            9.999851e-01        9.999640e-01
216   o8_t2_ap_d2   o8_t2_rp_d1          9.947746e-01            9.918616e-01        9.940691e-01
217   o8_t2_ap_d2   o8_t2_rp_d2          9.999889e-01            9.999223e-01        9.999728e-01
218   o8_t2_mf_d1   o8_t2_mf_d2          8.481589e-07            1.772073e-04        1.847047e-05
219   o8_t2_mf_d1   o8_t2_rp_d1          6.906551e-09            3.218276e-07        1.115674e-07
220   o8_t2_mf_d1   o8_t2_rp_d2          3.274715e-06            3.398416e-05        2.449142e-05
221   o8_t2_mf_d2   o8_t2_rp_d1          8.077212e-03            1.812496e-03        6.003939e-03
222   o8_t2_mf_d2   o8_t2_rp_d2          7.942801e-01            1.608970e-01        5.700747e-01
223   o8_t2_rp_d1   o8_t2_rp_d2          9.978954e-01            9.906192e-01        9.954654e-01
224   o9_t1_cs_d1   o9_t1_cs_d2          6.133519e-03            2.142452e-02        8.373619e-03
225   o9_t1_cs_d1   o9_t2_ap_d1          9.999612e-01            9.999741e-01        9.999661e-01
226   o9_t1_cs_d1   o9_t2_ap_d2          9.999928e-01            9.999968e-01        9.999943e-01
227   o9_t1_cs_d1   o9_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
228   o9_t1_cs_d1   o9_t2_mf_d2          2.352957e-01            3.581546e-01        2.700134e-01
229   o9_t1_cs_d1   o9_t2_rp_d1          9.999841e-01            9.999837e-01        9.999839e-01
230   o9_t1_cs_d1   o9_t2_rp_d2          5.596858e-03            2.672665e-02        7.953845e-03
231   o9_t1_cs_d2   o9_t2_ap_d1          9.999998e-01            9.999994e-01        9.999997e-01
232   o9_t1_cs_d2   o9_t2_ap_d2          1.000000e+00            9.999999e-01        1.000000e+00
233   o9_t1_cs_d2   o9_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
234   o9_t1_cs_d2   o9_t2_mf_d2          9.803376e-01            9.622460e-01        9.776801e-01
235   o9_t1_cs_d2   o9_t2_rp_d1          9.999999e-01            9.999996e-01        9.999999e-01
236   o9_t1_cs_d2   o9_t2_rp_d2          4.769905e-01            5.563985e-01        4.870394e-01
237   o9_t2_ap_d1   o9_t2_ap_d2          8.435859e-01            8.911963e-01        8.566873e-01
238   o9_t2_ap_d1   o9_t2_mf_d1          1.000000e+00            9.999996e-01        9.999999e-01
239   o9_t2_ap_d1   o9_t2_mf_d2          1.192424e-05            1.446603e-05        1.255578e-05
240   o9_t2_ap_d1   o9_t2_rp_d1          7.089280e-01            6.139573e-01        6.788671e-01
241   o9_t2_ap_d1   o9_t2_rp_d2          2.181207e-07            7.119097e-07        2.721596e-07
242   o9_t2_ap_d2   o9_t2_mf_d1          9.999998e-01            9.999970e-01        9.999992e-01
243   o9_t2_ap_d2   o9_t2_mf_d2          2.210963e-06            1.766140e-06        2.100442e-06
244   o9_t2_ap_d2   o9_t2_rp_d1          3.111023e-01            1.625955e-01        2.612516e-01
245   o9_t2_ap_d2   o9_t2_rp_d2          4.044303e-08            8.691513e-08        4.552881e-08
246   o9_t2_mf_d1   o9_t2_mf_d2          4.241323e-13            5.379097e-12        1.655252e-12
247   o9_t2_mf_d1   o9_t2_rp_d1          8.662979e-08            5.913661e-07        2.786858e-07
248   o9_t2_mf_d1   o9_t2_rp_d2          7.758228e-15            2.647153e-13        3.587888e-14
249   o9_t2_mf_d2   o9_t2_rp_d1          9.999951e-01            9.999909e-01        9.999941e-01
250   o9_t2_mf_d2   o9_t2_rp_d2          1.796341e-02            4.690363e-02        2.121591e-02
251   o9_t2_rp_d1   o9_t2_rp_d2          8.955611e-08            4.476330e-07        1.287430e-07
252  o10_t1_cs_d1  o10_t1_cs_d2          4.067735e-10            9.229688e-12        2.532835e-10
253  o10_t1_cs_d1  o10_t2_ap_d1          1.621811e-09            6.086094e-12        3.425073e-10
254  o10_t1_cs_d1  o10_t2_ap_d2          8.568905e-07            3.210906e-09        1.807554e-07
255  o10_t1_cs_d1  o10_t2_mf_d1          1.851099e-12            8.662593e-14        1.438778e-12
256  o10_t1_cs_d1  o10_t2_mf_d2          1.272992e-06            1.292661e-08        5.367966e-07
257  o10_t1_cs_d1  o10_t2_rp_d1          1.851099e-12            9.217433e-14        1.459305e-12
258  o10_t1_cs_d1  o10_t2_rp_d2          3.741468e-09            1.563553e-10        2.828872e-09
259  o10_t1_cs_d2  o10_t2_ap_d1          7.994792e-01            3.973740e-01        5.748785e-01
260  o10_t1_cs_d2  o10_t2_ap_d2          9.995255e-01            9.971338e-01        9.986007e-01
261  o10_t1_cs_d2  o10_t2_mf_d1          4.530074e-03            9.298305e-03        5.648417e-03
262  o10_t1_cs_d2  o10_t2_mf_d2          9.996806e-01            9.992865e-01        9.995284e-01
263  o10_t1_cs_d2  o10_t2_rp_d1          4.530074e-03            9.887973e-03        5.728541e-03
264  o10_t1_cs_d2  o10_t2_rp_d2          9.019407e-01            9.442601e-01        9.178226e-01
265  o10_t2_ap_d1  o10_t2_ap_d2          9.981109e-01            9.981081e-01        9.981087e-01
266  o10_t2_ap_d1  o10_t2_mf_d1          1.140077e-03            1.403367e-02        4.183149e-03
267  o10_t2_ap_d1  o10_t2_mf_d2          9.987276e-01            9.995294e-01        9.993623e-01
268  o10_t2_ap_d1  o10_t2_rp_d1          1.140077e-03            1.491912e-02        4.242577e-03
269  o10_t2_ap_d1  o10_t2_rp_d2          6.976083e-01            9.625336e-01        8.920005e-01
270  o10_t2_ap_d2  o10_t2_mf_d1          2.160245e-06            2.697793e-05        7.959742e-06
271  o10_t2_ap_d2  o10_t2_mf_d2          5.976819e-01            8.010285e-01        7.480944e-01
272  o10_t2_ap_d2  o10_t2_rp_d1          2.160245e-06            2.870581e-05        8.073302e-06
273  o10_t2_ap_d2  o10_t2_rp_d2          4.347346e-03            4.643397e-02        1.540912e-02
274  o10_t2_mf_d1  o10_t2_mf_d2          9.999985e-01            9.999933e-01        9.999973e-01
275  o10_t2_mf_d1  o10_t2_rp_d1          5.000000e-01            5.155156e-01        5.035415e-01
276  o10_t2_mf_d1  o10_t2_rp_d2          9.995055e-01            9.994463e-01        9.994917e-01
